start,end,count,reverse
2nd at South Park,2nd at Folsom,130,238
Market at 4th,SF Caltrain at 330 Townsend,223,108
Powell at Post (Union Square),Market at Sansome,72,53
Howard at Beale,Broadway St at Battery St,1,1
Market at 10th,Embarcadero at Vallejo,31,25
Market at Battery,Market at 10th,142,117
Japantown,SJ Diridon Caltrain,20,103
2nd at Folsom,SF Ferry Building,179,98
Broadway at Main,Redwood City Caltrain Station,5,7
San Jose Government Center,St James Park,3,0
Spear at Folsom,3rd at Howard,130,93
Commercial at Montgomery,Embarcadero at Sansome,77,110
2nd at South Park,Embarcadero at Folsom,67,91
Beale at Market,5th at Howard,27,29
Steuart at Market,Embarcadero at Folsom,94,97
Mountain View Caltrain,San Antonio Shopping Center,23,23
Broadway St at Battery St,Steuart at Market,17,13
Powell Street BART,Broadway St at Battery St,5,2
3rd at Howard,"SF Caltrain, Townsend at 4th ",418,495
University and Emerson,Palo Alto Caltrain Station,13,25
SF Ferry Building,Washington at Kearney,80,95
Embarcadero at Vallejo,Golden Gate at Polk,18,80
Washington at Kearney,2nd at South Park,24,74
Mountain View Caltrain,Mountain View Caltrain,129,129
Post at Kearney,Beale at Market,35,40
Beale at Market,3rd at Howard,27,34
Santa Clara at Almaden,SJSU - San Salvador at 9th,10,0
Broadway St at Battery St,Market at Battery,24,13
SF Ferry Building,3rd at Howard,75,94
MLK Library,Japantown,60,49
Howard at 2nd,Golden Gate at Polk,30,19
Redwood City Caltrain Station,Franklin at Maple,56,50
2nd at South Park,Broadway St at Battery St,1,9
Embarcadero at Sansome,Golden Gate at Polk,91,48
Embarcadero at Sansome,Embarcadero at Bryant,177,329
St James Park,Adobe on Almaden,8,6
Redwood City Caltrain Station,San Mateo County Center,41,34
7th at Market,SF Ferry Building,71,52
Golden Gate at Polk,SF Caltrain at 330 Townsend,19,79
7th at Market,Howard at 2nd,17,48
SJ Diridon Caltrain,Adobe on Almaden,175,180
SJSU - San Salvador at 9th,SJSU - San Salvador at 9th,42,0
Golden Gate at Polk,Clay at Battery,13,21
Davis at Jackson,Grant at Columbus,86,91
Evelyn Park and Ride,San Antonio Caltrain Station,2,4
Embarcadero at Bryant,Washington at Kearney,36,44
Rengstorff at California,San Antonio Caltrain Station,48,79
Embarcadero at Folsom,7th at Market,14,7
Embarcadero at Sansome,2nd at South Park,25,43
Market at 10th,Powell Street BART,285,396
Redwood City Public Library,Redwood City Public Library,14,14
Embarcadero at Bryant,SF Caltrain at 330 Townsend,140,38
Washington at Kearney,Market at Sansome,67,51
Grant at Columbus,2nd at Townsend,81,28
Market at 10th,Spear at Folsom,38,32
San Francisco City Hall,Embarcadero at Bryant,4,6
Market at Sansome,Market at Sansome,131,131
2nd at Townsend,Clay at Battery,72,109
Cowper at University,Palo Alto Caltrain Station,138,149
Powell at Post (Union Square),Townsend at 7th,126,55
Davis at Jackson,Embarcadero at Vallejo,46,48
Embarcadero at Bryant,Golden Gate at Polk,4,2
Embarcadero at Bryant,2nd at South Park,23,26
Steuart at Market,Post at Kearney,50,79
Steuart at Market,2nd at South Park,143,117
Embarcadero at Vallejo,Post at Kearney,10,30
Market at 4th,"SF Caltrain, Townsend at 4th ",443,232
Market at 4th,Powell Street BART,63,70
MLK Library,San Salvador at 1st,34,190
Golden Gate at Polk,Washington at Kearney,8,14
SF Ferry Building,Broadway St at Battery St,8,3
5th at Howard,Embarcadero at Sansome,56,58
Clay at Battery,5th at Howard,38,37
Powell at Post (Union Square),Beale at Market,82,46
2nd at Townsend,3rd at Howard,105,62
Redwood City Public Library,San Mateo County Center,9,8
Market at Battery,Post at Kearney,40,27
2nd at Townsend,San Francisco City Hall,13,16
Embarcadero at Sansome,Embarcadero at Sansome,636,636
Davis at Jackson,Golden Gate at Polk,27,13
Golden Gate at Polk,Market at Sansome,63,37
Beale at Market,2nd at Townsend,222,123
Market at Sansome,2nd at South Park,866,798
Redwood City Public Library,Redwood City Caltrain Station,9,75
3rd at Howard,Golden Gate at Polk,30,55
Market at 10th,Market at 10th,180,180
Townsend at 7th,Market at 4th,147,205
SF Ferry Building,Embarcadero at Folsom,54,96
Broadway St at Battery St,Embarcadero at Sansome,9,8
Market at 10th,Embarcadero at Folsom,13,8
Howard at 2nd,2nd at Folsom,26,77
7th at Market,Grant at Columbus,25,52
San Francisco City Hall,Powell Street BART,99,123
Adobe on Almaden,St James Park,6,8
South Van Ness at Market,Commercial at Montgomery,69,51
Embarcadero at Vallejo,Powell Street BART,54,64
Japantown,MLK Library,49,60
Rengstorff at California,Rengstorff at California,54,54
Embarcadero at Folsom,"SF Caltrain, Townsend at 4th ",647,695
San Jose City Hall,San Jose Government Center,1,3
Market at Battery,3rd at Howard,49,36
Howard at Beale,Howard at Beale,104,104
Mountain View Caltrain,San Antonio Caltrain Station,41,21
Market at Sansome,Clay at Battery,105,82
Market at Sansome,Powell Street BART,159,177
7th at Market,Market at Sansome,141,128
Steuart at Market,Clay at Battery,46,41
Powell Street BART,Market at Battery,48,135
Steuart at Market,Powell at Post (Union Square),71,127
3rd at Howard,7th at Market,50,40
San Francisco City Hall,South Van Ness at Market,73,51
Market at 4th,Davis at Jackson,106,76
Market at 4th,Embarcadero at Sansome,311,312
Post at Kearney,Market at 10th,99,101
Arena Green / SAP Center,St James Park,5,4
Embarcadero at Bryant,Beale at Market,46,82
"SF Caltrain, Townsend at 4th ",3rd at Howard,495,418
Embarcadero at Bryant,Market at 10th,9,13
Golden Gate at Polk,Embarcadero at Bryant,2,4
Howard at 2nd,Market at Battery,21,27
California Ave Caltrain Station,Cowper at University,20,37
Mountain View Caltrain,Palo Alto Caltrain Station,6,2
Howard at 2nd,Embarcadero at Folsom,34,76
Commercial at Montgomery,2nd at Folsom,50,47
Powell Street BART,South Van Ness at Market,277,279
2nd at Townsend,Steuart at Market,474,654
South Van Ness at Market,Clay at Battery,34,31
Embarcadero at Bryant,Broadway St at Battery St,4,4
Park at Olive,University and Emerson,45,43
7th at Market,Market at 4th,215,166
5th at Howard,Beale at Market,29,27
Post at Kearney,Market at 4th,45,37
Market at 4th,Grant at Columbus,126,187
Market at 4th,Embarcadero at Bryant,56,34
Evelyn Park and Ride,Evelyn Park and Ride,50,50
